Iteration; Theta1; Theta2; Alpha; Input 00 Output 0 Frequency; Input 00 Output 1 Frequency; Input 01 Output 0 Frequency; Input 01 Output 1 Frequency; Input 10 Output 0 Frequency; Input 10 Output 1 Frequency; Input 11 Output 0 Frequency; Input 11 Output 1 Frequency; Error
218; 1.2448981913388106; -0.9483472311254912; -0.3552453106988538; 589; 435; 432; 592; 6; 1018; 845; 179; 0.2568359375
219; 1.2448981913388106; -0.9483472311254912; 1.8380001117654476; 764; 260; 521; 503; 283; 741; 519; 505; 0.383056640625
220; 1.2448981913388106; -0.9483472311254912; -2.2519397729498363; 500; 524; 820; 204; 482; 542; 469; 555; 0.581298828125
221; 1.2448981913388106; 1.2448981913388106; -3.141592653589793; 526; 498; 1018; 6; 488; 536; 418; 606; 0.63720703125
222; 1.2448981913388106; 1.2448981913388106; -0.9483472311254912; 262; 762; 867; 157; 343; 681; 711; 313; 0.557861328125
223; 1.2448981913388106; 1.2448981913388106; 1.2448981913388106; 403; 621; 530; 494; 41; 983; 663; 361; 0.379150390625
224; 1.2448981913388106; 1.2448981913388106; -2.8450416933764746; 744; 280; 606; 418; 86; 938; 357; 667; 0.400146484375
225; 1.2448981913388106; 1.2448981913388106; -0.6517962709121727; 678; 346; 927; 97; 410; 614; 295; 729; 0.5888671875
226; 1.2448981913388106; 1.2448981913388106; 1.5414491515521291; 357; 667; 980; 44; 457; 567; 595; 429; 0.618408203125
227; 1.2448981913388106; 1.2448981913388106; -2.548490733163156; 291; 733; 648; 376; 163; 861; 766; 258; 0.43994140625
228; 1.2448981913388106; 1.2448981913388106; -0.3552453106988538; 598; 426; 505; 519; 9; 1015; 508; 516; 0.35546875
229; 1.2448981913388106; 1.2448981913388106; 1.8380001117654476; 772; 252; 763; 261; 269; 755; 277; 747; 0.495849609375
230; 1.2448981913388106; 1.2448981913388106; -2.2519397729498363; 496; 528; 1019; 5; 536; 488; 415; 609; 0.6572265625
231; 1.2448981913388106; -2.8450416933764746; -3.141592653589793; 499; 525; 950; 74; 488; 536; 407; 617; 0.6298828125
232; 1.2448981913388106; -2.8450416933764746; -0.9483472311254912; 264; 760; 656; 368; 328; 696; 602; 422; 0.52880859375
233; 1.2448981913388106; -2.8450416933764746; 1.2448981913388106; 452; 572; 476; 548; 51; 973; 349; 675; 0.43310546875
234; 1.2448981913388106; -2.8450416933764746; -2.8450416933764746; 770; 254; 739; 285; 97; 927; 96; 928; 0.49267578125
235; 1.2448981913388106; -2.8450416933764746; -0.6517962709121727; 681; 343; 980; 44; 432; 592; 249; 775; 0.61767578125
236; 1.2448981913388106; -2.8450416933764746; 1.5414491515521291; 354; 670; 830; 194; 461; 563; 566; 458; 0.590576171875
237; 1.2448981913388106; -2.8450416933764746; -2.548490733163156; 268; 756; 518; 506; 176; 848; 520; 504; 0.47705078125
238; 1.2448981913388106; -2.8450416933764746; -0.3552453106988538; 607; 417; 567; 457; 12; 1012; 192; 832; 0.4462890625
239; 1.2448981913388106; -2.8450416933764746; 1.8380001117654476; 754; 270; 896; 128; 258; 766; 123; 901; 0.567626953125
240; 1.2448981913388106; -2.8450416933764746; -2.2519397729498363; 536; 488; 951; 73; 523; 501; 417; 607; 0.627197265625
241; 1.2448981913388106; -0.6517962709121727; -3.141592653589793; 493; 531; 698; 326; 501; 523; 492; 532; 0.55224609375
242; 1.2448981913388106; -0.6517962709121727; -0.9483472311254912; 249; 775; 409; 615; 329; 695; 409; 615; 0.51953125
243; 1.2448981913388106; -0.6517962709121727; 1.2448981913388106; 428; 596; 405; 619; 45; 979; 92; 932; 0.48291015625
244; 1.2448981913388106; -0.6517962709121727; -2.8450416933764746; 712; 312; 762; 262; 108; 916; 38; 986; 0.529296875
245; 1.2448981913388106; -0.6517962709121727; -0.6517962709121727; 669; 355; 807; 217; 414; 610; 337; 687; 0.552490234375
246; 1.2448981913388106; -0.6517962709121727; 1.5414491515521291; 350; 674; 523; 501; 435; 589; 513; 511; 0.523193359375
247; 1.2448981913388106; -0.6517962709121727; -2.548490733163156; 291; 733; 346; 678; 182; 842; 254; 770; 0.495849609375
248; 1.2448981913388106; -0.6517962709121727; -0.3552453106988538; 611; 413; 590; 434; 14; 1010; 5; 1019; 0.4970703125
249; 1.2448981913388106; -0.6517962709121727; 1.8380001117654476; 758; 266; 854; 170; 248; 776; 159; 865; 0.545166015625
250; 1.2448981913388106; -0.6517962709121727; -2.2519397729498363; 517; 507; 654; 370; 524; 500; 483; 541; 0.54345703125
251; 1.2448981913388106; 1.5414491515521291; -3.141592653589793; 518; 506; 352; 672; 491; 533; 566; 458; 0.441162109375
252; 1.2448981913388106; 1.5414491515521291; -0.9483472311254912; 251; 773; 191; 833; 354; 670; 285; 739; 0.502197265625
253; 1.2448981913388106; 1.5414491515521291; 1.2448981913388106; 406; 618; 434; 590; 37; 987; 37; 987; 0.5068359375
254; 1.2448981913388106; 1.5414491515521291; -2.8450416933764746; 729; 295; 680; 344; 107; 917; 214; 810; 0.4619140625
255; 1.2448981913388106; 1.5414491515521291; -0.6517962709121727; 679; 345; 511; 513; 418; 606; 494; 530; 0.4404296875
256; 1.2448981913388106; 1.5414491515521291; 1.5414491515521291; 360; 664; 226; 798; 491; 533; 461; 563; 0.474609375
257; 1.2448981913388106; 1.5414491515521291; -2.548490733163156; 293; 731; 254; 770; 179; 845; 109; 915; 0.507568359375
258; 1.2448981913388106; 1.5414491515521291; -0.3552453106988538; 569; 455; 601; 423; 9; 1015; 66; 958; 0.493896484375
259; 1.2448981913388106; 1.5414491515521291; 1.8380001117654476; 764; 260; 646; 378; 258; 766; 391; 633; 0.438720703125
260; 1.2448981913388106; 1.5414491515521291; -2.2519397729498363; 519; 505; 349; 675; 523; 501; 551; 473; 0.45166015625
261; 1.2448981913388106; -2.548490733163156; -3.141592653589793; 523; 501; 71; 953; 512; 512; 571; 453; 0.375244140625
262; 1.2448981913388106; -2.548490733163156; -0.9483472311254912; 268; 756; 141; 883; 346; 678; 277; 747; 0.48583984375
263; 1.2448981913388106; -2.548490733163156; 1.2448981913388106; 419; 605; 442; 582; 33; 991; 192; 832; 0.466796875
264; 1.2448981913388106; -2.548490733163156; -2.8450416933764746; 740; 284; 512; 512; 90; 934; 530; 494; 0.3369140625
265; 1.2448981913388106; -2.548490733163156; -0.6517962709121727; 670; 354; 209; 815; 429; 595; 678; 346; 0.32666015625
266; 1.2448981913388106; -2.548490733163156; 1.5414491515521291; 370; 654; 34; 990; 501; 523; 408; 616; 0.440673828125
267; 1.2448981913388106; -2.548490733163156; -2.548490733163156; 283; 741; 275; 749; 162; 862; 169; 855; 0.496337890625
268; 1.2448981913388106; -2.548490733163156; -0.3552453106988538; 591; 433; 551; 473; 7; 1017; 336; 688; 0.409912109375
269; 1.2448981913388106; -2.548490733163156; 1.8380001117654476; 750; 274; 376; 648; 230; 794; 653; 371; 0.305419921875
270; 1.2448981913388106; -2.548490733163156; -2.2519397729498363; 532; 492; 74; 950; 493; 531; 588; 436; 0.364990234375
271; 1.2448981913388106; -0.3552453106988538; -3.141592653589793; 528; 496; 8; 1016; 506; 518; 584; 440; 0.35400390625
272; 1.2448981913388106; -0.3552453106988538; -0.9483472311254912; 263; 761; 260; 764; 320; 704; 348; 676; 0.492431640625
273; 1.2448981913388106; -0.3552453106988538; 1.2448981913388106; 434; 590; 534; 490; 33; 991; 520; 504; 0.405517578125
274; 1.2448981913388106; -0.3552453106988538; -2.8450416933764746; 702; 322; 387; 637; 102; 922; 807; 217; 0.2509765625
275; 1.2448981913388106; -0.3552453106988538; -0.6517962709121727; 668; 356; 28; 996; 415; 609; 767; 257; 0.2578125
276; 1.2448981913388106; -0.3552453106988538; 1.5414491515521291; 385; 639; 86; 938; 478; 546; 415; 609; 0.4423828125
277; 1.2448981913388106; -0.3552453106988538; -2.548490733163156; 257; 767; 429; 595; 157; 867; 353; 671; 0.494140625
278; 1.2448981913388106; -0.3552453106988538; -0.3552453106988538; 607; 417; 481; 543; 10; 1014; 697; 327; 0.301513671875
279; 1.2448981913388106; -0.3552453106988538; 1.8380001117654476; 766; 258; 172; 852; 266; 758; 848; 176; 0.212890625
280; 1.2448981913388106; -0.3552453106988538; -2.2519397729498363; 524; 500; 7; 1017; 493; 531; 594; 430; 0.34912109375
281; 1.2448981913388106; 1.8380001117654476; -3.141592653589793; 536; 488; 174; 850; 520; 504; 567; 457; 0.400146484375
282; 1.2448981913388106; 1.8380001117654476; -0.9483472311254912; 274; 750; 522; 502; 331; 693; 512; 512; 0.516357421875
283; 1.2448981913388106; 1.8380001117654476; 1.2448981913388106; 418; 606; 560; 464; 38; 986; 821; 203; 0.343505859375
284; 1.2448981913388106; 1.8380001117654476; -2.8450416933764746; 732; 292; 278; 746; 86; 938; 993; 31; 0.167724609375
285; 1.2448981913388106; 1.8380001117654476; -0.6517962709121727; 722; 302; 100; 924; 429; 595; 724; 300; 0.276123046875
286; 1.2448981913388106; 1.8380001117654476; 1.5414491515521291; 365; 659; 326; 698; 476; 548; 492; 532; 0.486572265625
287; 1.2448981913388106; 1.8380001117654476; -2.548490733163156; 325; 699; 611; 413; 135; 889; 656; 368; 0.442626953125
288; 1.2448981913388106; 1.8380001117654476; -0.3552453106988538; 600; 424; 411; 613; 5; 1019; 973; 51; 0.217529296875
289; 1.2448981913388106; 1.8380001117654476; 1.8380001117654476; 749; 275; 133; 891; 247; 777; 895; 129; 0.19140625
290; 1.2448981913388106; 1.8380001117654476; -2.2519397729498363; 527; 497; 189; 835; 537; 487; 559; 465; 0.412109375
291; 1.2448981913388106; -2.2519397729498363; -3.141592653589793; 526; 498; 521; 503; 520; 504; 527; 497; 0.4970703125
292; 1.2448981913388106; -2.2519397729498363; -0.9483472311254912; 281; 743; 779; 245; 381; 643; 683; 341; 0.5478515625
293; 1.2448981913388106; -2.2519397729498363; 1.2448981913388106; 440; 584; 600; 424; 30; 994; 981; 43; 0.306884765625
294; 1.2448981913388106; -2.2519397729498363; -2.8450416933764746; 733; 291; 290; 734; 78; 946; 946; 78; 0.179931640625
295; 1.2448981913388106; -2.2519397729498363; -0.6517962709121727; 674; 350; 366; 658; 420; 604; 596; 428; 0.3818359375
296; 1.2448981913388106; -2.2519397729498363; 1.5414491515521291; 329; 695; 688; 336; 480; 544; 547; 477; 0.5712890625
297; 1.2448981913388106; -2.2519397729498363; -2.548490733163156; 294; 730; 761; 263; 146; 878; 839; 185; 0.44482421875
298; 1.2448981913388106; -2.2519397729498363; -0.3552453106988538; 610; 414; 420; 604; 7; 1017; 1017; 7; 0.20703125
299; 1.2448981913388106; -2.2519397729498363; 1.8380001117654476; 759; 265; 247; 777; 249; 775; 758; 266; 0.250732421875
300; 1.2448981913388106; -2.2519397729498363; -2.2519397729498363; 507; 517; 511; 513; 529; 495; 513; 511; 0.5048828125
301; -2.8450416933764746; -3.141592653589793; -3.141592653589793; 494; 530; 475; 549; 518; 506; 518; 506; 0.495361328125
302; -2.8450416933764746; -3.141592653589793; -0.9483472311254912; 241; 783; 755; 269; 203; 821; 836; 188; 0.470947265625
303; -2.8450416933764746; -3.141592653589793; 1.2448981913388106; 426; 598; 605; 419; 29; 995; 980; 44; 0.3115234375
304; -2.8450416933764746; -3.141592653589793; -2.8450416933764746; 726; 298; 285; 739; 306; 718; 723; 301; 0.29052734375
305; -2.8450416933764746; -3.141592653589793; -0.6517962709121727; 693; 331; 327; 697; 535; 489; 507; 517; 0.41748046875
306; -2.8450416933764746; -3.141592653589793; 1.5414491515521291; 349; 675; 676; 348; 355; 669; 633; 391; 0.511962890625
307; -2.8450416933764746; -3.141592653589793; -2.548490733163156; 315; 709; 731; 293; 65; 959; 968; 56; 0.381103515625
308; -2.8450416933764746; -3.141592653589793; -0.3552453106988538; 620; 404; 433; 591; 149; 875; 889; 135; 0.273681640625
309; -2.8450416933764746; -3.141592653589793; 1.8380001117654476; 771; 253; 256; 768; 430; 594; 596; 428; 0.333740234375
310; -2.8450416933764746; -3.141592653589793; -2.2519397729498363; 511; 513; 485; 539; 519; 505; 488; 536; 0.501220703125
311; -2.8450416933764746; -0.9483472311254912; -3.141592653589793; 514; 510; 840; 184; 533; 491; 659; 365; 0.548828125
312; -2.8450416933764746; -0.9483472311254912; -0.9483472311254912; 263; 761; 903; 121; 208; 816; 991; 33; 0.465087890625
313; -2.8450416933764746; -0.9483472311254912; 1.2448981913388106; 395; 629; 574; 450; 36; 988; 947; 77; 0.3212890625
314; -2.8450416933764746; -0.9483472311254912; -2.8450416933764746; 721; 303; 446; 578; 278; 746; 627; 397; 0.34765625
315; -2.8450416933764746; -0.9483472311254912; -0.6517962709121727; 667; 357; 675; 349; 540; 484; 542; 482; 0.50146484375
316; -2.8450416933764746; -0.9483472311254912; 1.5414491515521291; 372; 652; 915; 109; 386; 638; 843; 181; 0.52099609375
317; -2.8450416933764746; -0.9483472311254912; -2.548490733163156; 269; 755; 766; 258; 71; 953; 1020; 4; 0.3896484375
318; -2.8450416933764746; -0.9483472311254912; -0.3552453106988538; 591; 433; 453; 571; 132; 892; 770; 254; 0.310546875
319; -2.8450416933764746; -0.9483472311254912; 1.8380001117654476; 777; 247; 494; 530; 460; 564; 511; 513; 0.41845703125
320; -2.8450416933764746; -0.9483472311254912; -2.2519397729498363; 494; 530; 852; 172; 526; 498; 692; 332; 0.546875
321; -2.8450416933764746; 1.2448981913388106; -3.141592653589793; 502; 522; 1016; 8; 503; 521; 767; 257; 0.56103515625
322; -2.8450416933764746; 1.2448981913388106; -0.9483472311254912; 264; 760; 859; 165; 192; 832; 929; 95; 0.46533203125
323; -2.8450416933764746; 1.2448981913388106; 1.2448981913388106; 446; 578; 560; 464; 35; 989; 681; 343; 0.3701171875
324; -2.8450416933764746; 1.2448981913388106; -2.8450416933764746; 730; 294; 595; 429; 291; 733; 377; 647; 0.446044921875
325; -2.8450416933764746; 1.2448981913388106; -0.6517962709121727; 684; 340; 946; 78; 551; 473; 602; 422; 0.551513671875
326; -2.8450416933764746; 1.2448981913388106; 1.5414491515521291; 348; 676; 979; 45; 384; 640; 907; 117; 0.5263671875
327; -2.8450416933764746; 1.2448981913388106; -2.548490733163156; 272; 752; 670; 354; 57; 967; 838; 186; 0.406494140625
328; -2.8450416933764746; 1.2448981913388106; -0.3552453106988538; 589; 435; 540; 484; 113; 911; 530; 494; 0.38623046875
329; -2.8450416933764746; 1.2448981913388106; 1.8380001117654476; 735; 289; 776; 248; 443; 581; 466; 558; 0.50439453125
330; -2.8450416933764746; 1.2448981913388106; -2.2519397729498363; 487; 537; 1019; 5; 521; 503; 737; 287; 0.5771484375
331; -2.8450416933764746; -2.8450416933764746; -3.141592653589793; 512; 512; 949; 75; 519; 505; 747; 277; 0.551025390625
332; -2.8450416933764746; -2.8450416933764746; -0.9483472311254912; 251; 773; 645; 379; 207; 817; 678; 346; 0.481201171875
333; -2.8450416933764746; -2.8450416933764746; 1.2448981913388106; 424; 600; 506; 518; 35; 989; 347; 677; 0.44384765625
334; -2.8450416933764746; -2.8450416933764746; -2.8450416933764746; 750; 274; 762; 262; 277; 747; 289; 735; 0.5
335; -2.8450416933764746; -2.8450416933764746; -0.6517962709121727; 687; 337; 990; 34; 526; 498; 612; 412; 0.552978515625
336; -2.8450416933764746; -2.8450416933764746; 1.5414491515521291; 366; 658; 822; 202; 376; 648; 800; 224; 0.5078125
337; -2.8450416933764746; -2.8450416933764746; -2.548490733163156; 298; 726; 492; 532; 77; 947; 521; 503; 0.43896484375
338; -2.8450416933764746; -2.8450416933764746; -0.3552453106988538; 626; 398; 586; 438; 138; 886; 261; 763; 0.460205078125
339; -2.8450416933764746; -2.8450416933764746; 1.8380001117654476; 761; 263; 898; 126; 443; 581; 404; 620; 0.54296875
340; -2.8450416933764746; -2.8450416933764746; -2.2519397729498363; 512; 512; 957; 67; 465; 559; 716; 308; 0.54736328125
341; -2.8450416933764746; -0.6517962709121727; -3.141592653589793; 518; 506; 705; 319; 515; 509; 616; 408; 0.52099609375
342; -2.8450416933764746; -0.6517962709121727; -0.9483472311254912; 269; 755; 384; 640; 204; 820; 357; 667; 0.49072265625
343; -2.8450416933764746; -0.6517962709121727; 1.2448981913388106; 413; 611; 425; 599; 41; 983; 98; 926; 0.489013671875
344; -2.8450416933764746; -0.6517962709121727; -2.8450416933764746; 709; 315; 773; 251; 288; 736; 253; 771; 0.524169921875
345; -2.8450416933764746; -0.6517962709121727; -0.6517962709121727; 653; 371; 833; 191; 541; 483; 570; 454; 0.536865234375
346; -2.8450416933764746; -0.6517962709121727; 1.5414491515521291; 342; 682; 505; 519; 373; 651; 538; 486; 0.49951171875
347; -2.8450416933764746; -0.6517962709121727; -2.548490733163156; 312; 712; 331; 693; 79; 945; 184; 840; 0.47900390625
348; -2.8450416933764746; -0.6517962709121727; -0.3552453106988538; 582; 442; 619; 405; 125; 899; 115; 909; 0.511474609375
349; -2.8450416933764746; -0.6517962709121727; 1.8380001117654476; 771; 253; 844; 180; 451; 573; 451; 573; 0.517822265625
350; -2.8450416933764746; -0.6517962709121727; -2.2519397729498363; 536; 488; 687; 337; 520; 504; 612; 412; 0.514404296875
351; -2.8450416933764746; 1.5414491515521291; -3.141592653589793; 498; 526; 342; 682; 518; 506; 410; 614; 0.48828125
352; -2.8450416933764746; 1.5414491515521291; -0.9483472311254912; 258; 766; 179; 845; 211; 813; 90; 934; 0.51025390625
353; -2.8450416933764746; 1.5414491515521291; 1.2448981913388106; 454; 570; 415; 609; 39; 985; 34; 990; 0.49169921875
354; -2.8450416933764746; 1.5414491515521291; -2.8450416933764746; 739; 285; 693; 331; 327; 697; 355; 669; 0.48193359375
355; -2.8450416933764746; 1.5414491515521291; -0.6517962709121727; 685; 339; 518; 506; 546; 478; 492; 532; 0.472412109375
356; -2.8450416933764746; 1.5414491515521291; 1.5414491515521291; 373; 651; 214; 810; 386; 638; 256; 768; 0.492919921875
357; -2.8450416933764746; 1.5414491515521291; -2.548490733163156; 310; 714; 281; 743; 62; 962; 11; 1013; 0.50537109375
358; -2.8450416933764746; 1.5414491515521291; -0.3552453106988538; 622; 402; 587; 437; 122; 902; 190; 834; 0.474853515625
359; -2.8450416933764746; 1.5414491515521291; 1.8380001117654476; 757; 267; 628; 396; 443; 581; 510; 514; 0.4521484375
360; -2.8450416933764746; 1.5414491515521291; -2.2519397729498363; 525; 499; 346; 678; 535; 489; 441; 583; 0.479248046875
361; -2.8450416933764746; -2.548490733163156; -3.141592653589793; 508; 516; 65; 959; 525; 499; 297; 727; 0.447509765625
362; -2.8450416933764746; -2.548490733163156; -0.9483472311254912; 270; 754; 119; 905; 210; 814; 38; 986; 0.505126953125
363; -2.8450416933764746; -2.548490733163156; 1.2448981913388106; 430; 594; 432; 592; 35; 989; 195; 829; 0.46142578125
364; -2.8450416933764746; -2.548490733163156; -2.8450416933764746; 724; 300; 518; 506; 285; 739; 521; 503; 0.39208984375
365; -2.8450416933764746; -2.548490733163156; -0.6517962709121727; 665; 359; 223; 801; 542; 482; 439; 585; 0.417236328125
366; -2.8450416933764746; -2.548490733163156; 1.5414491515521291; 365; 659; 49; 975; 391; 633; 135; 889; 0.4853515625
367; -2.8450416933764746; -2.548490733163156; -2.548490733163156; 271; 753; 309; 715; 75; 949; 70; 954; 0.510498046875
368; -2.8450416933764746; -2.548490733163156; -0.3552453106988538; 613; 411; 540; 484; 129; 895; 393; 631; 0.417724609375
369; -2.8450416933764746; -2.548490733163156; 1.8380001117654476; 754; 270; 373; 651; 476; 548; 547; 477; 0.3896484375
370; -2.8450416933764746; -2.548490733163156; -2.2519397729498363; 493; 531; 80; 944; 487; 537; 278; 746; 0.4501953125
371; -2.8450416933764746; -0.3552453106988538; -3.141592653589793; 518; 506; 8; 1016; 527; 497; 238; 786; 0.446044921875
372; -2.8450416933764746; -0.3552453106988538; -0.9483472311254912; 247; 777; 267; 757; 215; 809; 205; 819; 0.50732421875
373; -2.8450416933764746; -0.3552453106988538; 1.2448981913388106; 426; 598; 499; 525; 45; 979; 523; 501; 0.401123046875
374; -2.8450416933764746; -0.3552453106988538; -2.8450416933764746; 712; 312; 348; 676; 285; 739; 669; 355; 0.3173828125
375; -2.8450416933764746; -0.3552453106988538; -0.6517962709121727; 652; 372; 35; 989; 530; 494; 404; 620; 0.380126953125
376; -2.8450416933764746; -0.3552453106988538; 1.5414491515521291; 361; 663; 114; 910; 406; 618; 184; 840; 0.493896484375
377; -2.8450416933764746; -0.3552453106988538; -2.548490733163156; 292; 732; 432; 592; 72; 952; 337; 687; 0.469482421875
378; -2.8450416933764746; -0.3552453106988538; -0.3552453106988538; 596; 428; 499; 525; 152; 872; 620; 404; 0.362060546875
379; -2.8450416933764746; -0.3552453106988538; 1.8380001117654476; 765; 259; 173; 851; 440; 584; 586; 438; 0.31982421875
380; -2.8450416933764746; -0.3552453106988538; -2.2519397729498363; 500; 524; 3; 1021; 509; 515; 251; 773; 0.441650390625
381; -2.8450416933764746; 1.8380001117654476; -3.141592653589793; 506; 518; 209; 815; 483; 541; 335; 689; 0.463623046875
382; -2.8450416933764746; 1.8380001117654476; -0.9483472311254912; 254; 770; 523; 501; 205; 819; 548; 476; 0.48193359375
383; -2.8450416933764746; 1.8380001117654476; 1.2448981913388106; 410; 614; 565; 459; 38; 986; 818; 206; 0.347412109375
384; -2.8450416933764746; 1.8380001117654476; -2.8450416933764746; 690; 334; 287; 737; 299; 725; 774; 250; 0.28564453125
385; -2.8450416933764746; 1.8380001117654476; -0.6517962709121727; 651; 373; 87; 937; 518; 506; 444; 580; 0.38037109375
386; -2.8450416933764746; 1.8380001117654476; 1.5414491515521291; 346; 678; 343; 681; 400; 624; 387; 637; 0.50244140625
387; -2.8450416933764746; 1.8380001117654476; -2.548490733163156; 279; 745; 626; 398; 64; 960; 712; 312; 0.426513671875
388; -2.8450416933764746; 1.8380001117654476; -0.3552453106988538; 575; 449; 415; 609; 122; 902; 851; 173; 0.282958984375
389; -2.8450416933764746; 1.8380001117654476; 1.8380001117654476; 759; 265; 116; 908; 466; 558; 602; 422; 0.309814453125
390; -2.8450416933764746; 1.8380001117654476; -2.2519397729498363; 501; 523; 180; 844; 522; 502; 330; 694; 0.468505859375
391; -2.8450416933764746; -2.2519397729498363; -3.141592653589793; 512; 512; 509; 515; 509; 515; 510; 514; 0.4990234375
392; -2.8450416933764746; -2.2519397729498363; -0.9483472311254912; 276; 748; 783; 241; 193; 831; 826; 198; 0.46923828125
393; -2.8450416933764746; -2.2519397729498363; 1.2448981913388106; 429; 595; 592; 432; 26; 998; 991; 33; 0.30419921875
394; -2.8450416933764746; -2.2519397729498363; -2.8450416933764746; 756; 268; 261; 763; 299; 725; 732; 292; 0.2734375
395; -2.8450416933764746; -2.2519397729498363; -0.6517962709121727; 695; 329; 365; 659; 556; 468; 470; 554; 0.4404296875
396; -2.8450416933764746; -2.2519397729498363; 1.5414491515521291; 362; 662; 686; 338; 372; 652; 651; 373; 0.510986328125
397; -2.8450416933764746; -2.2519397729498363; -2.548490733163156; 301; 723; 727; 297; 62; 962; 953; 71; 0.386474609375
398; -2.8450416933764746; -2.2519397729498363; -0.3552453106988538; 616; 408; 449; 575; 128; 896; 909; 115; 0.2685546875
399; -2.8450416933764746; -2.2519397729498363; 1.8380001117654476; 762; 262; 263; 761; 441; 583; 564; 460; 0.34814453125
400; -2.8450416933764746; -2.2519397729498363; -2.2519397729498363; 520; 504; 536; 488; 501; 523; 512; 512; 0.501220703125
401; -0.6517962709121727; -3.141592653589793; -3.141592653589793; 522; 502; 532; 492; 514; 510; 536; 488; 0.4970703125
402; -0.6517962709121727; -3.141592653589793; -0.9483472311254912; 256; 768; 755; 269; 181; 843; 856; 168; 0.45703125
403; -0.6517962709121727; -3.141592653589793; 1.2448981913388106; 401; 623; 607; 417; 243; 781; 759; 265; 0.42431640625
404; -0.6517962709121727; -3.141592653589793; -2.8450416933764746; 739; 285; 274; 750; 592; 432; 422; 602; 0.427978515625
405; -0.6517962709121727; -3.141592653589793; -0.6517962709121727; 681; 343; 353; 671; 670; 354; 388; 636; 0.48876953125
406; -0.6517962709121727; -3.141592653589793; 1.5414491515521291; 325; 699; 714; 310; 352; 672; 691; 333; 0.51220703125
407; -0.6517962709121727; -3.141592653589793; -2.548490733163156; 303; 721; 742; 282; 149; 875; 854; 170; 0.43505859375
408; -0.6517962709121727; -3.141592653589793; -0.3552453106988538; 597; 427; 398; 626; 427; 597; 577; 447; 0.414794921875
409; -0.6517962709121727; -3.141592653589793; 1.8380001117654476; 760; 264; 257; 767; 694; 330; 361; 663; 0.45849609375
410; -0.6517962709121727; -3.141592653589793; -2.2519397729498363; 466; 558; 496; 528; 501; 523; 518; 506; 0.503173828125
411; -0.6517962709121727; -0.9483472311254912; -3.141592653589793; 515; 509; 860; 164; 527; 497; 808; 216; 0.515625
412; -0.6517962709121727; -0.9483472311254912; -0.9483472311254912; 286; 738; 893; 131; 211; 813; 982; 42; 0.4599609375
413; -0.6517962709121727; -0.9483472311254912; 1.2448981913388106; 444; 580; 587; 437; 262; 762; 728; 296; 0.421142578125
414; -0.6517962709121727; -0.9483472311254912; -2.8450416933764746; 735; 289; 448; 576; 608; 416; 464; 560; 0.465087890625
415; -0.6517962709121727; -0.9483472311254912; -0.6517962709121727; 673; 351; 664; 360; 644; 380; 674; 350; 0.490478515625
416; -0.6517962709121727; -0.9483472311254912; 1.5414491515521291; 362; 662; 927; 97; 317; 707; 960; 64; 0.48095703125
417; -0.6517962709121727; -0.9483472311254912; -2.548490733163156; 289; 735; 755; 269; 192; 832; 884; 140; 0.44482421875
418; -0.6517962709121727; -0.9483472311254912; -0.3552453106988538; 609; 415; 457; 567; 419; 605; 582; 442; 0.423095703125
419; -0.6517962709121727; -0.9483472311254912; 1.8380001117654476; 747; 277; 526; 498; 653; 371; 527; 497; 0.476806640625
420; -0.6517962709121727; -0.9483472311254912; -2.2519397729498363; 502; 522; 833; 191; 501; 523; 832; 192; 0.5
421; -0.6517962709121727; 1.2448981913388106; -3.141592653589793; 501; 523; 1015; 9; 542; 482; 991; 33; 0.515869140625
422; -0.6517962709121727; 1.2448981913388106; -0.9483472311254912; 254; 770; 835; 189; 205; 819; 935; 89; 0.463623046875
423; -0.6517962709121727; 1.2448981913388106; 1.2448981913388106; 432; 592; 541; 483; 250; 774; 600; 424; 0.441162109375
424; -0.6517962709121727; 1.2448981913388106; -2.8450416933764746; 724; 300; 607; 417; 588; 436; 559; 465; 0.478515625
425; -0.6517962709121727; 1.2448981913388106; -0.6517962709121727; 684; 340; 927; 97; 635; 389; 847; 177; 0.507568359375
426; -0.6517962709121727; 1.2448981913388106; 1.5414491515521291; 366; 658; 987; 37; 352; 672; 1017; 7; 0.4892578125
427; -0.6517962709121727; 1.2448981913388106; -2.548490733163156; 270; 754; 672; 352; 174; 850; 755; 269; 0.456298828125
428; -0.6517962709121727; 1.2448981913388106; -0.3552453106988538; 605; 419; 520; 504; 422; 602; 502; 522; 0.459716796875
429; -0.6517962709121727; 1.2448981913388106; 1.8380001117654476; 766; 258; 777; 247; 657; 367; 655; 369; 0.503173828125
430; -0.6517962709121727; 1.2448981913388106; -2.2519397729498363; 521; 503; 1015; 9; 525; 499; 985; 39; 0.50830078125
431; -0.6517962709121727; -2.8450416933764746; -3.141592653589793; 453; 571; 966; 58; 504; 520; 943; 81; 0.51806640625
432; -0.6517962709121727; -2.8450416933764746; -0.9483472311254912; 274; 750; 643; 381; 196; 828; 685; 339; 0.470703125
433; -0.6517962709121727; -2.8450416933764746; 1.2448981913388106; 438; 586; 483; 541; 264; 760; 401; 623; 0.4775390625
434; -0.6517962709121727; -2.8450416933764746; -2.8450416933764746; 752; 272; 738; 286; 591; 433; 580; 444; 0.499267578125
